Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,17.750000,17.750000,15.250000,15.250000,15.250000,582039
2021-02-01,15.250000,16.000000,15.250000,16.000000,16.000000,241052
2021-02-02,16.250000,17.000000,16.250000,16.250000,16.250000,206643
2021-02-03,16.250000,16.500000,15.500000,16.000000,16.000000,219247
2021-02-04,16.000000,16.250000,15.750000,16.000000,16.000000,98591
2021-02-05,15.750000,16.000000,15.500000,16.000000,16.000000,171363
2021-02-08,15.750000,16.000000,15.500000,16.000000,16.000000,209534
2021-02-09,15.750000,16.000000,15.750000,16.000000,16.000000,113563
2021-02-10,15.750000,18.750000,15.750000,18.250000,18.250000,653370
2021-02-11,16.500000,17.750000,15.250000,15.250000,15.250000,991698
2021-02-12,16.000000,16.250000,15.500000,15.500000,15.500000,361737
2021-02-16,16.000000,16.875000,15.750000,16.000000,16.000000,444113
2021-02-17,16.000000,16.250000,15.250000,15.250000,15.250000,420021
2021-02-18,15.250000,15.500000,13.750000,14.250000,14.250000,525278
2021-02-19,14.500000,14.750000,14.000000,14.500000,14.500000,212184
2021-02-22,14.750000,14.750000,14.000000,14.250000,14.250000,162206
2021-02-23,14.250000,14.500000,13.250000,14.000000,14.000000,301138
2021-02-24,14.000000,15.000000,14.000000,14.750000,14.750000,242978
2021-02-25,15.000000,15.000000,14.000000,14.500000,14.500000,204404
2021-02-26,14.500000,14.500000,13.750000,14.000000,14.000000,204258
2021-03-01,14.500000,14.750000,14.000000,14.750000,14.750000,154611
2021-03-02,14.750000,15.000000,14.250000,14.750000,14.750000,317670
2021-03-03,14.750000,15.250000,14.500000,15.000000,15.000000,227565
2021-03-04,15.500000,16.250000,14.500000,16.250000,16.250000,828355
2021-03-05,16.500000,17.500000,15.750000,17.500000,17.500000,1108937
2021-03-08,18.000000,18.250000,17.500000,17.750000,17.750000,444853
2021-03-09,17.750000,18.000000,17.375000,17.750000,17.750000,179901
2021-03-10,17.500000,17.750000,16.875000,17.250000,17.250000,170554
2021-03-11,17.250000,17.500000,16.750000,17.250000,17.250000,193391
2021-03-12,17.000000,17.750000,16.750000,17.750000,17.750000,355075
2021-03-15,17.750000,18.250000,17.500000,17.750000,17.750000,311942
2021-03-16,18.000000,18.500000,17.750000,18.250000,18.250000,464586
2021-03-17,18.000000,18.750000,18.000000,18.500000,18.500000,209644
2021-03-18,18.500000,19.000000,18.250000,18.750000,18.750000,577826
2021-03-19,18.500000,19.250000,18.250000,18.750000,18.750000,401347
2021-03-22,18.750000,21.000000,18.750000,20.750000,20.750000,660338
2021-03-23,20.750000,22.750000,19.250000,19.500000,19.500000,938924
2021-03-24,20.250000,21.000000,19.500000,19.500000,19.500000,297425
2021-03-25,19.500000,20.750000,19.000000,20.250000,20.250000,230988
2021-03-26,20.500000,21.250000,20.250000,21.250000,21.250000,345150
2021-03-29,20.500000,22.000000,20.500000,21.500000,21.500000,336760
2021-03-30,21.500000,22.500000,21.500000,22.500000,22.500000,330260
2021-03-31,22.750000,24.500000,22.750000,24.250000,24.250000,819880
2021-04-01,24.500000,25.750000,23.500000,24.250000,24.250000,874831
2021-04-05,25.000000,25.250000,24.000000,24.250000,24.250000,289861
2021-04-06,25.000000,25.250000,24.250000,25.250000,25.250000,340251
2021-04-07,25.250000,26.250000,24.500000,25.000000,25.000000,520162
2021-04-08,25.000000,25.000000,23.750000,24.500000,24.500000,345949
2021-04-09,24.250000,24.500000,23.750000,24.000000,24.000000,138168
2021-04-12,23.750000,24.000000,22.500000,23.250000,23.250000,293978
2021-04-13,23.500000,23.500000,22.250000,22.500000,22.500000,280160
2021-04-14,22.500000,23.250000,22.000000,23.250000,23.250000,219036
2021-04-15,23.250000,23.250000,22.500000,23.000000,23.000000,117615
2021-04-16,22.750000,22.750000,22.000000,22.250000,22.250000,221966
2021-04-19,21.750000,24.000000,21.250000,23.500000,23.500000,370358
2021-04-20,23.500000,23.500000,22.250000,22.750000,22.750000,178995
2021-04-21,22.500000,23.500000,22.250000,23.250000,23.250000,173826
2021-04-22,23.000000,23.250000,22.500000,22.500000,22.500000,109353
2021-04-23,22.750000,23.500000,22.500000,23.000000,23.000000,141059
2021-04-26,23.000000,23.500000,23.000000,23.500000,23.500000,76585
2021-04-27,23.750000,23.750000,23.250000,23.500000,23.500000,175910
2021-04-28,23.250000,23.500000,22.750000,23.000000,23.000000,187573
